"establishment_id","establishment_name","minimum_inspections_peryear","lat","lon","score","Freq","type"
"10449126","BAKERY & PICNIC AT HOME",2,43.6591811,-79.3480569,100,392,"Bakery"
"10403791","GREYSTONE BAKERY",2,43.725193,-79.2535107,100,392,"Bakery"
"9004118","DEL'S PASTRY LTD.",2,43.6376015,-79.5298453,100,392,"Bakery"
"10300332","BEACHES BAKE SHOP",2,43.6804156,-79.2897178,100,392,"Bakery"
"10405974","PATISSERIE LA CIGOGNE",2,43.6825802,-79.3270954,94,392,"Bakery"
"9005795","FURAMA BAKERY & CAFE",3,43.6516252,-79.3977707,100,392,"Bakery"
"10399984","TWO MOMS BAKED GOODS",2,43.7002677,-79.4289875,100,392,"Bakery"
"10453068","DLISH CUPCAKES",2,43.6718252,-79.3874231,100,392,"Bakery"
"10300595","TOP BREAD",2,43.8279782,-79.2494306,96,392,"Bakery"
"9009546","MANOUCHER BREAD",2,43.7278231,-79.5287224,100,392,"Bakery"
"9005018","EMPORIO DE LOS SANDWICHES",2,43.7302047,-79.4688479,100,392,"Bakery"
"10426623","JACKS BAKERY & PASTRY",3,43.6867168,-79.4386793,77,392,"Bakery"
"10272031","FV FOODS",3,43.7211804,-79.2818261,63,392,"Bakery"
"10284571","MIAO KE HONG BAKERY",2,43.6649439,-79.3522499,66,392,"Bakery"
"10417988","GURT'S",2,43.6475202,-79.4494666,100,392,"Bakery"
"10361639","TUNG TUNG CO.",2,43.7869274,-79.2740715,100,392,"Bakery"
"9006066","GEORGE'S TASTEE BREAD & PATTIES",2,43.8083767,-79.3583398,100,392,"Bakery"
"9405182","THE CUPCAKE SHOPPE",2,43.7104437,-79.3989988,100,392,"Bakery"
"10424997","COOKIE BO$$",2,43.7819795,-79.4722341,96,392,"Bakery"
"9000596","AMAZING DONUTS",2,43.7379026,-79.434478,72,392,"Bakery"
"10378336","COBS BREAD",2,43.7049824,-79.3747374,100,392,"Bakery"
"10189680","ROYAL PASTRY",2,43.7767282,-79.3164965,100,392,"Bakery"
"9046405","FUTURE BAKERY",2,43.6211267,-79.5477549,100,392,"Bakery"
"9006123","GIVE AND GO",2,43.735585,-79.606987,100,392,"Bakery"
"10428868","CHOCOLATE MACARONS",2,43.7446629,-79.2983348,100,392,"Bakery"
"9015162","SWEET TROLEY BAKERY",2,43.6655868,-79.4714364,100,392,"Bakery"
"10430642","Yaarl Cake House",2,43.8238258,-79.2476563,100,392,"Bakery"
"10403022","SOMA CHOCOLATE",2,43.6450866,-79.396827,100,392,"Bakery"
"10223866","NATIONAL BAKERY & PASTRY",2,43.6545823,-79.4218868,100,392,"Bakery"
"10329521","UNIVERSAL BAKERY",2,43.6165918,-79.4879622,71,392,"Bakery"
"9005702","FRED'S BREAD",2,43.7726041,-79.4704697,100,392,"Bakery"
"9020970","MONTMARTRE BAKERY",2,43.7545538,-79.2681997,100,392,"Bakery"
"9006329","GOURMET BAKERY",2,43.6455356,-79.5238818,100,392,"Bakery"
"10186546","TUNG HING BAKERY",2,43.6651819,-79.3523762,97,392,"Bakery"
"10433833","Gluten Freedom",2,43.7146136,-79.5719253,100,392,"Bakery"
"9022543","POONDY BREAD BAKERY",3,43.8131496,-79.2422076,3,392,"Bakery"
"10302560","THE HOT OVEN BAKERY",2,43.6511936,-79.4766287,100,392,"Bakery"
"10434679","New Dynasty Bakery",2,43.7836563,-79.2879344,100,392,"Bakery"
"10410371","SWEET CREATIONS",2,43.7607601,-79.5487706,100,392,"Bakery"
"9069008","DYNASTY BAKERY & CAFE",2,43.6827015,-79.4641712,100,392,"Bakery"
"10250137","QUEEN'S PATISSERIE",2,43.8097313,-79.343097,100,392,"Bakery"
